creation_date,critic_name,critic_picture,critic_vanity,is_fresh,is_rotten,is_rt_url,is_rt_url,is_top,publication_id,publication_name,review_url,quote,review_id,score_ori,score_sentiment
"Oct 7, 2018",Karl French,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,karl-french,True,False,False,False,True,1882,Financial Times,https://www.ft.com/content/37570a9e-16d3-11dd-bbfc-0000779fd2ac,"Still, if the film is ultimately disappointing it is in part because it begins so well, and there is a lot to enjoy before the over-the-top final act.",2516120,,POSITIVE
"Aug 23, 2018",Deborah Ross,http://resizing.flixster.com/WrZ-SiVmoRfGUdOObhsrx9fH5B0=/128x128/v1.YzszNjE4O2o7MTk0NDA7MjA0ODszMDA7MzAw,deborah-ross,False,True,False,False,True,2568,The Spectator,https://www.spectator.co.uk/2008/04/tired-old-friend/,"I like Downey Jr, usually, with his dark wounded eyes, but here his performance veers between going though the motions and a look which seems to say, ""Hey, what film am I doing again?""",2500859,,NEGATIVE
"Jun 15, 2015",Craig Outhier,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,craig-outhier,True,False,False,False,True,912,Orange County Register,http://www.ocregister.com/articles/movie-109084-review-film.html,"Led by Downey's career-resurrecting performance as billionaire weapons peddler Tony Stark, it proves just as indispensable to the movie's giddy escapist appeal as the seamless CGI effects and eye-popping pyrotechnics.",2267388,A-,POSITIVE
"Jun 15, 2015",David Stratton,http://resizing.flixster.com/2RC4JQJDtwrpZymvUIZ86-GDveM=/128x128/v1.YzszNzEwO2o7MTk0NDA7MjA0ODszMDA7MzAw,david-stratton,True,False,False,False,True,1958,At the Movies (Australia),,"What gives this its distinction [is] Robert Downey Jr, who is terrific.",2267375,3.5/5,POSITIVE
"Jun 9, 2015",Robert Hanks,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,robert-hanks,True,False,False,False,True,691,Independent (UK),http://www.independent.co.uk/arts-entertainment/films/reviews/iron-man-12a-819306.html,"Iron Man manages to be both a lot of fun, and quite possibly the most effective commentary on the war on terror that Hollywood has produced so far -- not the best argued or the most committed, but the one that most people will see, and think about.",2266402,3/5,POSITIVE
"Jun 9, 2015",Nick Curtis,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,nick-curtis,True,False,False,False,True,446,London Evening Standard,http://www.standard.co.uk/goingout/film/downey-jr-shows-his-metal-as-iron-man-7406007.html,"There's a satisfyingly climactic CGI battle, but Downey Jr tops it in the witty denouement with pure acting skill.",2266396,,POSITIVE
"Feb 18, 2012",Nell Minow,http://resizing.flixster.com/ObZVOVLF_xRwxquegFnZ69TBkuY=/38x48/v1.YzsxNTc5O2c7MTk0NDA7MjA0ODszODs0OA,nell-minow,True,False,False,False,True,300,Movie Mom,http://blog.beliefnet.com/moviemom/2008/09/iron-man-1.html,"With its first self-financed production, Marvel has produced one of the best superhero movies ever made, pure popcorn pleasure for its special effects, its story, its villain, and its hero.",2059838,B+,POSITIVE
"Jul 14, 2010",J. R. Jones,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,j-r-jones,True,False,False,False,True,66,Chicago Reader,http://www.chicagoreader.com/chicago/iron-man/Film?oid=1737827,"Robert Downey Jr. gives a nicely sardonic performance as Tony Stark, a rich playboy and the brilliant heir to his father's weapons manufacturing dynasty.",1918572,,POSITIVE
"Jul 6, 2010",Laremy Legel,http://resizing.flixster.com/oNNbiwQ5ITj-2lnMSsyIlvz0HOk=/38x42/v1.YzsyMzE2O2c7MTk0NDA7MjA0ODszODs0Mg,laremy-legel,True,False,False,False,True,176,Film.com,http://www.film.com/features/story/review-iron-man-must-see/20634768,There are a few scenes in Iron Man that make you realize why we rely on giant studios and big budgets come the summer months.,1902849,B,POSITIVE
"Jul 6, 2010",Adam Nayman,http://resizing.flixster.com/4II2XLnczV79XLJDJQl9DWhlANk=/72x72/v1.YzsyMTMyO2o7MTk0NDA7MjA0ODs3Mjs3Mg,adam-nayman,True,False,False,False,True,1727,Reverse Shot,http://www.reverseshot.com/article/iron_man,"Clever and cogent beats idiotic and incoherent, and Iron Man is spryer than the overwhelming majority of films in its budget range.",1902847,,POSITIVE
"Oct 18, 2008",Tom Charity,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,tom-charity,True,False,False,False,True,93,CNN.com,http://www.cnn.com/2008/SHOWBIZ/Movies/05/01/review.ironman/index.html,"A supremely confident, well-tooled entertainment. It's bound to be the early pace-maker for the oncoming glut of summer blockbusters.",1768853,,POSITIVE
