Title,Title_URL,Score,Max_Score,Name_URL,Name,View,actions,text
Out of this world,https://www.imdb.com/review/rw3248454/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur5876717/?ref_=tt_urv,kosmasp,31 May 2015,442/478 ,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time.

Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ..."
A visual and auditory marvel,https://www.imdb.com/review/rw3451169/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur53660798/?ref_=tt_urv,Jared_Andrews,13 April 2016,370/419 ,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.

Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans.

Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.

The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.

Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.

I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that."
Masterpiece,https://www.imdb.com/review/rw8127790/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur36129748/?ref_=tt_urv,e-jackson1985,8 May 2022,115/122 ,"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's.

But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing."
I waited 5 years to watch it again,https://www.imdb.com/review/rw4961107/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur42512491/?ref_=tt_urv,Ksa-2010,26 June 2019,2005/2157 ,After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again This without doubt is THE BEST MOVIE EVER MADE
Masterpiece,https://www.imdb.com/review/rw8274088/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur18622219/?ref_=tt_urv,aheaven2005,25 June 2022,48/53 ,A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.
Possibly the best movie of all time,https://www.imdb.com/review/rw6784817/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur94278289/?ref_=tt_urv,theoledoux,6 April 2021,35/38 ,"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look towards the stars and wonder, because that's what makes us human. Without this stargazing we are merely animals, accepting our fate in the dust..."
A journey across the galaxy to save humanity,https://www.imdb.com/review/rw3403922/?ref_=tt_urv,9,10,https://www.imdb.com/user/ur13977076/?ref_=tt_urv,Tweekums,27 January 2016,64/76 ,"Set in a future where crop species are going extinct one after another former test pilot Joseph Cooper is now a farmer growing corn. His daughter Murphey thinks there is a ghost in her room; Cooper doesn't believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. He goes to that location and finds himself at a NASA base where he learns of a secret programme to find another habitable world involving a wormhole discovered near Saturn. He is asked to take part in a mission to find the best planet out of three orbiting a black hole; each of which has a scientist who went on a one way mission sending data back. The plan is to find a world to transfer humanity to but if that is impossible there is a back-up plan for the crew to raise the 5000 embryos stored aboard their ship. Time is an issue as it moves at a different rate near the black hole; this means that as hours pass for Cooper years are passing back on Earth.

This film starts at a gentle pace gradually explaining what has happened to the Earth before getting the mission to save the world started; this means the separation of Cooper and Murphey is more emotional. Once the mission is underway there is plenty of tension, including some particularly gripping moments on the second planet they visit. The small cast does a fine job; especially Matthew McConaughey, who plays Cooper; Anne Hathaway, who plays Amelia Brand a scientist aboard the mission; and Mackenzie Foy and Jessica Chastain, who play the younger and older Murphey. The effects looked great, as one would expect in a film from Christopher Nolan, and I was pleased that space was depicted as silent; something that is both scientifically correct but also more impressive. Things do get a little confusing near the end but in a way that made me want to watch again rather than causing frustration.

Overall I'd recommend this to somebody looking for intelligent science fiction in the mould of '2001 – A Space Odyssey' although this has more emotion to it than that classic."
7 years later,https://www.imdb.com/review/rw7492503/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur75870169/?ref_=tt_urv,ravesch-83770,29 October 2021,99/105 ,"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to get all of this emotion in only one movie. Brilliant."
Excellent Movie,https://www.imdb.com/review/rw3215295/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur35925566/?ref_=tt_urv,frank-ancestor-hunter,6 April 2015,736/846 ,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!"
Absolutely Brilliant,https://www.imdb.com/review/rw3170297/?ref_=tt_urv,9,10,https://www.imdb.com/user/ur1234929/?ref_=tt_urv,gavin6942,25 January 2015,91/117 ,"A team of explorers travel through a wormhole in an attempt to ensure humanity's survival.

Going into this I had mixed feelings because some have praised it, others have panned it, and some say it is good with reservations. There were allegedly issues with he sound in theaters, and any number of other issues. Then, when we get to the Oscars, the film gets nominations in the technical fields but not in the top honors.

This was wrong. Maybe this is not the best role from Matthew McConaughey or Anne Hathaway. Though, the fact that a ""Hathaway hater"" like myself enjoyed it should say something. And I think Jessica Chastain should have received a Best Supporting nomination. She easily outshines Laura Dern in ""Wild"".

This may be the greatest ever film about physics."
I would rate 11/10,https://www.imdb.com/review/rw4214912/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur87748897/?ref_=tt_urv,mysteryvoiceman,24 June 2018,217/264 ,"I hadn't seen this but movie and caught it on a flight back from the DR. 
One of my favorite movies of all time. I would give the first half of the movie an 11/10, just completely enjoyed it as a sci fi/ thriller(in the sense of so much always being on the line). I loved the acting and just yeah, a great movie and one you should go see if you never have"
