year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,1
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,0
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,1
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,0
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,0
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,0
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,0
1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,0
1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,0
1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,0
1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,1
1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,0
1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,0
1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,0
1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,0
1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,1
1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,1
1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,0
1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,0
1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,0
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,0
1932,1933,6,ACTRESS,May Robson,Lady for a Day,0
1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,0
1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,1
1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,0
1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,1
1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,0
1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,1
1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,0
1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,1
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,0
1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,1
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,1
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,0
1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,0
1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,1
1934,1935,7,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra,0
1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,1
1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,0
1935,1936,8,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,0
1935,1936,8,DANCE DIRECTION,Bobby Connolly,Go into Your Dance;,0
1935,1936,8,DANCE DIRECTION,Sammy Lee,King of Burlesque,0
1935,1936,8,DIRECTING,John Ford,The Informer,1
1935,1936,8,DIRECTING,Frank Lloyd,Mutiny on the Bounty,0
1935,1936,8,FILM EDITING,Robert J. Kern,David Copperfield,0
1935,1936,8,FILM EDITING,Ellsworth Hoagland,The Lives of a Bengal Lancer,0
1935,1936,8,MUSIC (Scoring),"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",Peter Ibbetson,0
1935,1936,8,MUSIC (Song),Music and Lyrics by Irving Berlin,Top Hat,0
1935,1936,8,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",The Lives of a Bengal Lancer,0
1935,1936,8,WRITING (Original Story),Gregory Rogers,G-Men,0
1935,1936,8,WRITING (Screenplay),Casey Robinson,Captain Blood,0
1935,1936,8,SPECIAL AWARD, David Wark Griffith,,1
1936,1937,9,ART DIRECTION,"Cedric Gibbons, Fredric Hope, Edwin B. Willis",Romeo and Juliet,0
1936,1937,9,DANCE DIRECTION,Bobby Connolly,Cain and Mabel,0
